,sampletype,Blank,Blank,Control13Cglc,Control13Cglc,Control13Cglc,FASN,FASN,FASN,FADS2,FADS2,FADS2,SCD,SCD,SCD
Compound,Label,X20210713_inhib_blank01.mzXML,X20210713_inhib_blank02.mzXML,X20210713_inhib_s01_CONTROL_glc.mzXML,X20210713_inhib_s02_CONTROL_glc.mzXML,X20210713_inhib_s03_CONTROL_glc.mzXML,X20210713_inhib_s07_FASN.mzXML,X20210713_inhib_s08_FASN.mzXML,X20210713_inhib_s09_FASN.mzXML,X20210713_inhib_s13_FADS2.mzXML,X20210713_inhib_s14_FADS2.mzXML,X20210713_inhib_s15_FADS2.mzXML,X20210713_inhib_s19_SCD.mzXML,X20210713_inhib_s20_SCD.mzXML,X20210713_inhib_s21_SCD.mzXML
FA(16:1)n7,13,0,0,77336809.19,81778650.54,82120937.41,548262.0974,0,618756.682,24441717.3,60003951.19,63419679.39,0,516610.6416,0
FA(16:1)n7,14,0,0,199298080.6,210709227.4,208491639.6,1112588.778,0,1044089.824,72349116.68,175675474,188671672.4,0,1728077.402,0
FA(16:1)n7,15,0,0,45642035.86,48386156.73,48051887.12,218548.95,0,228396.7153,11345666.65,27992780.54,29365176.19,0,82697.29858,0
FA(16:1)n7,16,0,0,99413885,105664390.7,103385474.4,671549.5125,0,804066.3905,29378792.44,70834605.44,75490981.29,0,635859.728,0
FA(16:1)n9,0,1293817.438,7298056,217901461.8,240109469.1,244509080,184562336.5,272157941.6,276034304.5,87463723.75,252542836.3,240389911.9,206163009.3,234183154.8,215000283.6
FA(16:1)n9,1,0,1388210.32,37479484.98,42942258.34,41357722.55,32039825.81,46639811.88,48453540.56,15192381.92,43428861.13,41165295.84,34772553.67,41123703,36939631.36
FA(16:1)n9,2,0,0,4802613,5188872.588,5362572.164,3304326.068,4902982.854,5849305.262,1736801.279,5706539.387,5474365.789,3768280.584,4259092.324,3970603.143
FA(16:1)n9,3,0,0,0,0,0,0,0,0,0,355055.6992,0,0,0,0
FA(16:1)n9,4,0,0,48144.48608,65682.28662,76941.8374,0,0,0,35794.11133,123012.5693,0,20683.33545,0,0
FA(16:1)n9,5,0,0,0,0,18418.47168,0,0,0,4263.45752,0,0,0,0,0
FA(16:1)n9,6,0,0,0,229199.1416,192533.6973,0,0,4948.34668,0,0,0,75451.67017,0,0
FA(16:1)n9,7,0,0,214917.3618,116833.0967,172377.2803,0,0,0,0,170290.6631,0,0,0,0
FA(16:1)n9,8,0,0,1240055.447,1347428.981,0,0,0,0,594838.7637,1616273.703,1944235.945,81841.89429,0,0
FA(16:1)n9,9,0,0,796760.6973,897068.0391,0,0,0,0,312325.9487,753836.7861,858746.6035,0,0,0
FA(16:1)n9,10,0,0,2980574.688,3405176.719,0,2217.879395,16841.44556,0,1235479.209,3160667.801,3552287.469,120285.8843,0,0
FA(16:1)n9,11,0,0,1894055.59,2106018.067,0,0,0,0,564880.0566,1494994.672,1656486.156,0,0,0
FA(16:1)n9,12,0,0,5236790.867,6020377.422,0,0,0,28611.79834,1676297.609,4594196.047,4774746.852,106418.25,0,0
FA(16:1)n9,13,0,0,2161726.145,2849077.227,0,0,0,0,598460.2969,1602343.955,1556127.24,0,0,0
FA(16:1)n9,14,0,0,5895702.258,6293156.633,0,0,0,27315.53735,1572558.752,4267588.871,5097641.832,0,0,0
FA(16:1)n9,15,0,0,1335311.658,1854662.08,0,0,0,0,257607.9102,691595.7813,668433.1797,0,0,0
FA(16:1)n9,16,0,0,2728226.953,3434136.758,0,0,0,0,826333.4004,1762980.572,2170974.518,0,0,0
FA(16:1)nx,0,2709777.063,1276971.781,46673351.69,54734189.63,50754493.44,23804543.44,43004845.94,48731583.5,13181100.94,42051453.63,42800953.69,41009421.38,52634316.44,48656158.38
FA(16:1)nx,1,0,0,8455936.438,9167950.648,8577441.055,4483473.516,7395915.75,8967015.617,2330784.758,7192623.219,7713779.531,7536762.086,9307654.633,8437874.766
FA(16:1)nx,2,0,0,378374.0508,1005633.652,854727.4355,0,472147.9551,699556.5586,0,484081.6348,0,543323.8965,972917.9414,791126.8008
FA(16:1)nx,3,0,0,0,0,0,0,0,0,0,0,0,23097.375,56679.53467,0
FA(16:1)nx,4,0,0,0,0,0,0,0,0,0,0,0,0,427818.6101,336576.3462
FA(16:1)nx,5,0,0,0,0,0,0,0,0,0,0,0,0,106259.7991,83862.63794
